SL,ID,Department,Section,Line,Designation
1036,1001043,Production,Production (Worker),Line-E,Asst.Sw.Mc.Operator
1037,1001044,Production,Production (Worker),Line-A,G.Sw.Mc.Operator
1038,1001045,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
1039,1001046,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
1040,1001047,Production,Production (Staff),Sewing Staff,Supervisor - F
1041,1001048,Production,Production (Worker),Line-B,Sewing Mc.Operator
1042,1001049,Production,Production (Worker),Line-C,G.Sw.Mc.Operator
1043,1001050,Production,Production (Worker),Line-D,Asst.Sw.Mc.Operator
1044,1001051,Production,Production (Worker),Line-D,G.Sw.Mc.Operator
1045,1001052,Production,Production (Worker),Line-D,G.Sw.Mc.Operator
1046,1001053,Production,Production (Worker),Line-E,Asst.Sw.Mc.Operator
1047,1001054,Production,Production (Worker),Line-F,Sewing Mc.Operator
1048,1001055,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
1049,1001056,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
1050,1001057,Production,Production (Worker),Line-D,G.Sw.Mc.Operator
1051,1001058,Production,Production (Worker),Line-B,G.Sw.Mc.Operator
1052,1001059,Production,Production (Worker),Line-E,Asst.Sw.Mc.Operator
1053,1001060,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
1054,1001061,Production,Production (Worker),Line-F,Asst.Sw.Mc.Operator
1055,1001062,Production,Production (Worker),Line-C,Asst.Sw.Mc.Operator
1056,1001063,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
1057,1001064,Production,Production (Worker),Line-A,Asst.Sw.Mc.Operator
1058,1001065,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
1059,1001066,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
1060,1001067,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
1061,1001068,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
1062,1001069,Production,Production (Worker),Line-F,Asst.Sw.Mc.Operator
1063,1001070,Production,Production (Worker),Line-F,Asst.Sw.Mc.Operator
1064,1001071,Production,Production (Worker),Line-F,Asst.Sw.Mc.Operator
1065,1001072,Production,Production (Worker),Line-D,G.Sw.Mc.Operator
1066,1001073,Production,Production (Worker),Line-C,Asst.Sw.Mc.Operator
1067,1001074,Production,Production (Worker),Line-C,G.Sw.Mc.Operator
1068,1001075,Production,Production (Worker),Line-D,Asst.Sw.Mc.Operator
1069,1001076,Production,Production (Worker),Line-F,Asst.Sw.Mc.Operator
1070,1001077,Production,Production (Worker),Line-B,Sewing Mc.Operator
1071,1001078,Production,Production (Worker),Finishing,Finishing Quality Ins.
1072,1001079,Production,Production (Worker),Line-C,G.Sw.Mc.Operator
1073,1001080,Production,Production (Worker),Line-C,G.Sw.Mc.Operator
1074,1001081,Production,Production (Worker),Quality,Quality Inspector
1075,1001082,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
1076,1001083,Production,Production (Worker),Line-E,G.Sw.Mc.Operator
1077,1001084,Production,Production (Worker),Line-D,Asst.Sw.Mc.Operator
1078,1001085,Production,Production (Worker),Line-D,Sewing Mc.Operator
1079,1001086,Production,Production (Worker),Line-F,Supervisor - F
1080,1001087,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
1081,1001088,Production,Production (Worker),Finishing,Finishing Quality Ins.
1082,1001089,Production,Production (Staff),Cutting Staff,Cutter Man
1083,1001090,Production,Production (Worker),Line-C,G.Sw.Mc.Operator
1084,1001091,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
1085,1001092,Production,Production (Worker),Cutting,Cutting Assistant
1086,1001093,Production,Production (Staff),Sewing Staff,Production Executive
1087,1001094,Production,Production (Staff),Quality  Staff,A.Q.C
1088,1001095,Production,Production (Worker),Cutting,Cutting Assistant
1089,1001096,Production,Production (Staff),Store Staff,Store Executive
1090,1001097,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
1091,1001098,Production,Production (Staff),Sewing Staff,Supervisor-A
1092,1001099,Production,Production (Worker),Line-D,Asst.Sw.Mc.Operator
1093,1001100,Production,Production (Worker),Cutting,Cutting Assistant
1094,1001101,Production,Production (Worker),Finishing,Finishing Quality Ins.
1095,1001102,Production,Production (Worker),Finishing,Finishing Quality Ins.
1096,1001103,Production,Production (Worker),Finishing,Jr.Fini. Iron Man
1097,1001104,Production,Production (Worker),Line-F,Supervisor - F
1098,1001105,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
1099,1001106,Production,Production (Worker),Line-F,Sewing Mc.Operator
1100,1001107,Production,Production (Worker),Finishing,Finishing Quality Ins.
1101,1001108,Production,Production (Worker),Finishing,Finishing Quality Ins.
1102,1001109,Production,Production (Worker),Line-E,Asst.Sw.Mc.Operator
1103,1001110,Production,Production (Worker),Line-F,Asst.Sw.Mc.Operator
1104,1001111,Human Resource,Human Resource,Admin,Driver
1105,1001112,Production,Production (Worker),Line-C,G.Sw.Mc.Operator
1106,1001113,Production,Production (Staff),Sewing Staff,Supervisor - C
1107,1001114,Production,Production (Worker),Finishing,Finishing Quality Ins.
1108,1001115,Production,Production (Worker),Line-E,Sr.Sw.Mc.Operator
1109,1001116,Production,Production (Worker),Finishing,Finishing Folder
1110,1001117,Production,Production (Worker),Finishing,Jr.Packer
1111,1001118,Production,Production (Worker),Finishing,Gr.Finishing Operator
1112,1001119,Production,Production (Worker),Quality,Quality Inspector
1113,1001120,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
1114,1001121,Production,Production (Worker),Line-C,G.Sw.Mc.Operator
1115,1001122,Production,Production (Worker),Line-C,Sewing Mc.Operator
1116,1001123,Production,Production (Worker),Finishing,Jr.Folder
1117,1001124,Production,Production (Worker),Line-A,G.Sw.Mc.Operator
1118,1001125,Production,Production (Worker),Line-F,Sewing Mc.Operator
1119,1001126,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
1120,1001127,Production,Production (Worker),Finishing,Finishing Assistant
1121,1001128,Production,Production (Staff),Quality  Staff,Quality Manager
1122,1001129,Production,Production (Worker),Finishing,Finishing Assistant
1123,1001130,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
1124,1001131,Production,Production (Worker),Finishing,Finishing Assistant
1125,1001132,Production,Production (Worker),Quality,Quality Inspector
1126,1001133,Production,Production (Worker),Finishing,Finishing Assistant
1127,1001134,Production,Production (Worker),Line-D,Asst.Sw.Mc.Operator
1128,1001135,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
1129,1001136,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
1130,1001137,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
1131,1001138,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
1132,1001139,Production,Production (Worker),Line-F,Asst.Sw.Mc.Operator
1133,1001140,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
1134,1001141,Production,Production (Worker),Line-A,G.Sw.Mc.Operator
1135,1001142,Production,Production (Worker),Line-A,Sewing Mc.Operator
1136,1001143,Production,Production (Worker),Line-F,Sewing Mc.Operator
1137,1001144,Production,Production (Worker),Line-F,Sewing Mc.Operator
1138,1001145,Production,Production (Staff),Sewing Staff,Line Chief - A
1139,1001146,Production,Production (Worker),Finishing,Finishing Folder
1140,1001147,Production,Production (Staff),Sewing Staff,Line Chief - A
1141,1001148,Production,Production (Worker),Line-F,Asst.Sw.Mc.Operator
1142,1001149,Production,Production (Worker),Finishing,Jr.Folder
1143,1001150,Production,Production (Staff),Sewing Staff,Factory Manager
1144,1001151,Production,Production (Staff),Sewing Staff,Line Chief - A
1145,1001152,Production,Production (Staff),Sewing Staff,Supervisor - F
1146,1001153,Production,Production (Worker),Finishing,Finishing Operator
1147,1001154,Human Resource,Human Resource,General,Labour
1148,1001155,Production,Production (Worker),Quality,Quality Inspector
1149,1001156,Production,Production (Worker),Line-B,Sewing Mc.Operator
1150,1001157,Production,Production (Staff),Quality  Staff,A.Q.C
1151,1001158,Production,Production (Worker),Finishing,Finishing Folder
1152,1001159,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
1153,1001160,Human Resource,Human Resource,Admin,Medical Officer
1154,1001161,Production,Production (Worker),Line-A,Asst.Sw.Mc.Operator
1155,1001162,Production,Production (Worker),Line-A,Asst.Sw.Mc.Operator
1156,1001163,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
1157,1001164,Production,Production (Worker),Finishing,Finishing Quality Ins.
1158,1001165,Production,Production (Worker),Line-A,G.Sw.Mc.Operator
1159,1001166,Production,Production (Worker),Line-C,G.Sw.Mc.Operator
1160,1001167,Production,Production (Worker),Line-C,G.Sw.Mc.Operator
1161,1001168,Production,Production (Worker),Line-D,G.Sw.Mc.Operator
1162,1001169,Production,Production (Worker),Line-D,G.Sw.Mc.Operator
1163,1001170,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
1164,1001171,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
1165,1001172,Production,Production (Worker),Line-D,Sewing Mc.Operator
1166,1001173,Production,Production (Worker),Line-D,Asst.Sw.Mc.Operator
1167,1001174,Production,Production (Worker),Line-E,Sewing Mc.Operator
1168,1001175,Production,Production (Worker),Line-F,Sewing Mc.Operator
1169,1001176,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
1170,1001177,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
1171,1001178,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
1172,1001179,Production,Production (Worker),Line-F,Sewing Mc.Operator
1173,1001180,Production,Production (Worker),Line-F,G.Sw.Mc.Operator
1174,1001181,Production,Production (Worker),Line-F,G.Sw.Mc.Operator
1175,1001182,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
1176,1001183,Production,Production (Worker),Line-A,Asst.Sw.Mc.Operator
1177,1001184,Production,Production (Worker),Line-A,Asst.Sw.Mc.Operator
1178,1001185,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
1179,1001186,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
1180,1001187,Production,Production (Worker),Line-B,Sewing Mc.Operator
1181,1001188,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
1182,1001189,Production,Production (Worker),Line-A,Asst.Sw.Mc.Operator
1183,1001190,Production,Production (Worker),Line-A,G.Sw.Mc.Operator
1184,1001191,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
1185,1001192,Production,Production (Worker),Line-F,Sewing Mc.Operator
1186,1001193,Production,Production (Staff),Sewing Staff,Supervisor-A
1187,1001194,Human Resource,Human Resource,General,Labour
1188,1001195,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
1189,1001196,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
1190,1001197,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
1191,1001198,Production,Production (Worker),Line-C,Sewing Mc.Operator
1192,1001199,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
1193,1001200,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
1194,1001201,Production,Production (Worker),Line-C,G.Sw.Mc.Operator
1195,1001202,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
1196,1001203,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
1197,1001204,Production,Production (Worker),Line-E,Asst.Sw.Mc.Operator
1198,1001205,Production,Production (Worker),Line-F,G.Sw.Mc.Operator
1199,1001206,Production,Production (Worker),Line-F,G.Sw.Mc.Operator
1200,1001207,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
1201,1001208,Production,Production (Worker),Line-F,Sewing Mc.Operator
1202,1001209,Human Resource,Human Resource,Admin,Admin. Executive
1203,1001210,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
