SL,ID,Department,Section,Line,Designation
4432,1006328,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
4433,1006329,Production,Production (Worker),Line-A,Jr.Operator
4434,1006330,Human Resource,Human Resource,General,Loader
4435,1006331,Production,Production (Worker),Cutting,Loader
4436,1006332,Production,Production (Worker),Line-F,Asst.Sw.Mc.Operator
4437,1006333,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
4438,1006335,Production,Production (Worker),Line-E,Sewing Mc.Operator
4439,1006337,Production,Production (Worker),Line-D,Asst.Sw.Mc.Operator
4440,1006339,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
4441,1006340,Production,Production (Worker),Line-A,Asst.Sw.Mc.Operator
4442,1006341,Production,Production (Worker),Quality,Jr.Quality Inspector
4443,1006342,Production,Production (Worker),Line-F,Sewing Mc.Operator
4444,1006343,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
4445,1006344,Production,Production (Worker),Line-C,Asst.Sw.Mc.Operator
4446,1006345,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
4447,1006346,Production,Production (Worker),Quality,Jr.Quality Inspector
4448,1006347,Production,Production (Worker),Quality,Gr.Quality Inspector
4449,1006348,Production,Production (Staff),Sewing Staff,"Supervisor, Line-F"
4450,1006349,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
4451,1006350,Production,Production (Worker),Line-A,Asst.Sw.Mc.Operator
4452,1006351,Production,Production (Worker),Line-A,Asst.Sw.Mc.Operator
4453,1006352,Production,Production (Staff),Sewing Staff,GM(Project Head)
4454,1006353,Human Resource,Human Resource,Admin,Manager. Admin & Security
4455,1006354,Production,Production (Worker),Line-E,Sewing Mc.Operator
4456,1006355,Production,Production (Staff),Sewing Staff,"Supervisor, Line-F"
4457,1006356,Production,Production (Worker),Line-D,Asst.Sw.Mc.Operator
4458,1006357,Production,Production (Worker),Line-D,Asst.Sw.Mc.Operator
4459,1006358,Production,Production (Worker),Line-A,Asst.Sw.Mc.Operator
4460,1006359,Production,Production (Worker),Line-A,Asst.Sw.Mc.Operator
4461,1006360,Production,Production (Worker),Finishing,Jr.Quality Inspector
4462,1006361,Production,Production (Worker),Finishing,Gr.Finishing Quality Ins.
4463,1006362,Production,Production (Worker),Finishing,Jr.Finishing Operator
4464,1006364,Production,Production (Worker),Finishing,Finishing Assistant
4465,1006365,Production,Production (Worker),Finishing,Jr.Finishing Operator
4466,1006366,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
4467,1006367,Production,Production (Worker),Quality,Jr.Quality Inspector
4468,1006368,Production,Production (Worker),Line-E,Sewing Mc.Operator
4469,1006370,Production,Production (Worker),Line-C,Asst.Sw.Mc.Operator
4470,1006371,Production,Production (Worker),Line-A,Jr.Operator
4471,1006372,Production,Production (Worker),Finishing,Jr.Fini. Iron Man
4472,1006373,Production,Production (Worker),Finishing,Loader
4473,1006374,Production,Production (Worker),Quality,Gr.Quality Inspector
4474,1006375,Production,Production (Worker),Line-E,Asst.Inputman.
4475,1006376,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
4476,1006378,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
4477,1006379,Production,Production (Worker),Line-D,Sewing Mc.Operator
4478,1006380,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
4479,1006381,Production,Production (Worker),Quality,Jr.Quality Inspector
4480,1006384,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
4481,1006385,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
4482,1006387,Production,Production (Worker),Line-A,Asst.Sw.Mc.Operator
4483,1006388,Production,Production (Worker),Line-F,Asst.Sw.Mc.Operator
4484,1006390,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
4485,1006391,Production,Production (Worker),Line-F,Sewing Mc.Operator
4486,1006392,Production,Production (Worker),Finishing,Gr.Finishing Quality Ins.
4487,1006393,Production,Production (Worker),Finishing,Finishing Quality Ins.
4488,1006395,Production,Production (Worker),Line-E,Sr.Sw.Mc.Operator
4489,1006396,Production,Production (Staff),Sewing Staff,Line Chief - B
4490,1006397,Production,Production (Staff),Sewing Staff,Line Chief - C
4491,1006398,Production,Production (Worker),Line-D,Sewing Mc.Operator
4492,1006399,Production,Production (Staff),Quality  Staff,A.Q.C
4493,1006402,Production,Production (Worker),Cutting,Asst.Operator(Fusing)
4494,1006403,Production,Production (Worker),Cutting,Loader
4495,1006404,Production,Production (Worker),Cutting,Asst.Numbering Man
4496,1006405,Production,Production (Worker),Line-D,Sewing Mc.Operator
4497,1006406,Production,Production (Worker),Line-D,Sewing Mc.Operator
4498,1006407,Production,Production (Worker),Line-D,Sewing Mc.Operator
4499,1006410,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
4500,1006411,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
4501,1006414,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
4502,1006415,Production,Production (Worker),Line-A,Sewing Mc.Operator
4503,1006417,Production,Production (Worker),Line-A,Sewing Mc.Operator
4504,1006418,Production,Production (Worker),Line-A,Asst.Line Iron Man
4505,1006420,Production,Production (Worker),Line-B,Sewing Mc.Operator
4506,1006421,Production,Production (Worker),Line-C,Sewing Mc.Operator
4507,1006422,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
4508,1006423,Production,Production (Worker),Line-C,Sewing Mc.Operator
4509,1006425,Production,Production (Worker),Finishing,Gr.Finishing Quality Ins.
4510,1006427,Production,Production (Worker),Finishing,Gr.Finishing Quality Ins.
4511,1006429,Production,Production (Worker),Finishing,Gr.Finishing Quality Ins.
4512,1006430,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
4513,1006432,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
4514,1006434,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
4515,1006436,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
4516,1006437,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
4517,1006441,Production,Production (Worker),Line-F,Sr.Sw.Mc.Operator
4518,1006443,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
4519,1006445,Production,Production (Worker),Quality,Trainee Product Sefty Officer
4520,1006446,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
4521,1006447,Production,Production (Worker),Line-B,Sewing Mc.Operator
4522,1006448,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
4523,1006449,Production,Production (Worker),Line-F,Asst.Sw.Mc.Operator
4524,1006451,Production,Production (Worker),Finishing,Gr.Finishing Quality Ins.
4525,1006452,Production,Production (Worker),Quality,Jr.Quality Inspector
4526,1006453,Production,Production (Worker),Quality,Gr.Quality Inspector
4527,1006456,Production,Production (Worker),Line-E,Sewing Mc.Operator
4528,1006461,Production,Production (Worker),Line-E,Sewing Mc.Operator
4529,1006463,Production,Production (Worker),Quality,Jr.Quality Inspector
4530,1006464,Production,Production (Worker),Line-D,Sewing Mc.Operator
4531,1006467,Production,Production (Worker),Line-E,Sewing Mc.Operator
4532,1006469,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
4533,1006471,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
4534,1006472,Production,Production (Worker),Line-F,Sr.Sw.Mc.Operator
4535,1006475,Production,Production (Worker),Line-C,Sewing Mc.Operator
4536,1006479,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
4537,1006482,Production,Production (Staff),Sewing Staff,Supervisor-A
4538,1006483,Production,Production (Staff),Sewing Staff,Line Chief - C
4539,1006484,Production,Production (Staff),Finishing  Staff,Fin. Supervisor
4540,1006485,Production,Production (Staff),Quality  Staff,Quality Auditor
4541,1006486,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
4542,1006487,Production,Production (Worker),Line-F,Asst.Sw.Mc.Operator
4543,1006488,Production,Production (Worker),Line-F,Jr.Operator
4544,1006489,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
4545,1006490,Production,Production (Worker),Line-B,Sewing Mc.Operator
4546,1006491,Production,Production (Worker),Line-A,Sewing Mc.Operator
4547,1006492,Production,Production (Worker),Line-A,Sewing Mc.Operator
4548,1006494,Production,Production (Worker),Quality,Jr.Quality Inspector
4549,1006495,Production,Production (Worker),Line-A,Asst.Inputman.
4550,1006496,Production,Production (Worker),Finishing,Jr.Finishing Operator
4551,1006497,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
4552,1006498,Production,Production (Worker),Line-D,Sewing Mc.Operator
4553,1006499,Production,Production (Worker),Line-D,Asst.Sw.Mc.Operator
4554,1006500,Production,Production (Worker),Line-E,Sewing Mc.Operator
4555,1006501,Production,Production (Worker),Finishing,Gr.Finishing Quality Ins.
4556,1006505,Production,Production (Worker),Cutting,Gr.Numbering Man
4557,1006508,Production,Production (Worker),Finishing,Jr.Finishing Quality Ins.
4558,1006509,Production,Production (Worker),Finishing,Jr.Finishing Quality Ins.
4559,1006511,Production,Production (Worker),Line-C,Asst.Sw.Mc.Operator
4560,1006512,Production,Production (Worker),Line-C,Asst.Sw.Mc.Operator
4561,1006515,Production,Production (Worker),Quality,Jr.Quality Inspector
4562,1006517,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
4563,1006518,Production,Production (Worker),Line-A,Sewing Mc.Operator
4564,1006519,Production,Production (Worker),Line-A,Operator
4565,1006522,Production,Production (Worker),Finishing,Gr.Finishing Quality Ins.
4566,1006523,Production,Production (Worker),Line-B,Sewing Mc.Operator
4567,1006524,Production,Production (Worker),Line-B,Sewing Mc.Operator
4568,1006525,Production,Production (Worker),Line-E,Sewing Mc.Operator
4569,1006526,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
4570,1006527,Production,Production (Worker),Quality,Jr.Quality Inspector
4571,1006528,Production,Production (Worker),Line-A,Sewing Mc.Operator
4572,1006529,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
4573,1006534,Production,Production (Worker),Line-E,Sewing Mc.Operator
4574,1006535,Production,Production (Worker),Line-C,Jr.Operator
4575,1006536,Production,Production (Worker),Finishing,Finishing Quality Ins.
4576,1006538,Production,Production (Worker),Line-A,Sewing Mc.Operator
4577,1006539,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
4578,1006540,Production,Production (Worker),Line-C,Sewing Mc.Operator
4579,1006542,Production,Production (Worker),Line-E,Sewing Mc.Operator
4580,1006543,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
4581,1006544,Production,Production (Worker),Line-B,Asst.Inputman.
4582,1006545,Production,Production (Worker),Line-D,Sewing Mc.Operator
4583,1006546,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
4584,1006548,Production,Production (Worker),Quality,Quality Inspector
4585,1006550,Production,Production (Worker),Finishing,Jr. Packing Man
4586,1006551,Production,Production (Worker),Line-C,Asst.Inputman.
4587,1006552,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
4588,1006554,Production,Production (Staff),Sewing Staff,Line Chief - D
4589,1006555,Production,Production (Staff),Finishing  Staff,Finishing In-charge
4590,1006556,Production,Production (Staff),Quality  Staff,Quality In-Charge
4591,1006557,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
4592,1006558,Production,Production (Worker),Line-B,Sewing Mc.Operator
4593,1006559,Production,Production (Worker),Line-B,Sewing Mc.Operator
4594,1006561,Production,Production (Worker),Line-D,Sewing Mc.Operator
4595,1006564,Production,Production (Worker),Line-A,Sewing Mc.Operator
4596,1006565,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
4597,1006566,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
4598,1006568,Human Resource,Human Resource,General,Loader
4599,1006570,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
4600,1006572,Production,Production (Worker),Line-C,G.Sw.Mc.Operator
4601,1006573,Production,Production (Worker),Line-C,Sewing Mc.Operator
4602,1006575,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
4603,1006577,Production,Production (Worker),Line-C,Sewing Mc.Operator
4604,1006578,Production,Production (Worker),Line-B,Sewing Mc.Operator
4605,1006579,Production,Production (Worker),Finishing,Jr.Iron Man
4606,1006580,Production,Production (Worker),Finishing,Loader
4607,1006581,Production,Production (Worker),Finishing,Gr.Finishing Quality Ins.
4608,1006582,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
4609,1006586,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
4610,1006587,Production,Production (Staff),Sewing Staff,Line Chief - C
4611,1006588,Production,Production (Staff),Sewing Staff,Supervisor - D
4612,1006589,Production,Production (Worker),Line-C,G.Sw.Mc.Operator
4613,1006590,Production,Production (Worker),Finishing,Jr.Operator
4614,1006591,Production,Production (Worker),Finishing,Gr.Finishing Quality Ins.
4615,1006592,Production,Production (Staff),Sewing Staff,Supervisor - B
4616,1006593,Production,Production (Staff),Sewing Staff,Wash Supervisor
4617,1006595,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
4618,1006596,Production,Production (Worker),Line-C,Asst.Sw.Mc.Operator
4619,1006597,Production,Production (Worker),Quality,Gr.Quality Inspector
4620,1006599,Production,Production (Worker),Line-F,Sewing Mc.Operator
4621,1006600,Production,Production (Worker),Line-F,Sr.Sw.Mc.Operator
4622,1006601,Production,Production (Worker),Line-F,Asst.Line Iron Man
4623,1006602,Production,Production (Worker),Line-A,Sewing Mc.Operator
4624,1006603,Production,Production (Worker),Line-A,Sewing Mc.Operator
4625,1006605,Production,Production (Staff),Sewing Staff,Floor Incharge
4626,1006606,Production,Production (Worker),Line-F,Sewing Mc.Operator
4627,1006607,Production,Production (Worker),Line-F,Sewing Mc.Operator
4628,1006609,Production,Production (Worker),Line-D,Sewing Mc.Operator
4629,1006610,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
4630,1006612,Human Resource,Human Resource,General,Loader
4631,1006613,Production,Production (Worker),Finishing,Jr. Packing Man
4632,1006614,Production,Production (Worker),Line-C,Sewing Mc.Operator
4633,1006615,Production,Production (Worker),Line-C,Sewing Mc.Operator
4634,1006616,Production,Production (Worker),Quality,Gr.Quality Inspector
4635,1006617,Production,Production (Worker),Line-C,Asst.Sw.Mc.Operator
4636,1006619,Production,Production (Worker),Line-F,Sewing Mc.Operator
4637,1006620,Production,Production (Worker),Line-F,Sewing Mc.Operator
4638,1006621,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
4639,1006622,Production,Production (Worker),Line-D,Sr.Sw.Mc.Operator
4640,1006623,Production,Production (Worker),Line-D,Sewing Mc.Operator
4641,1006624,Production,Production (Worker),Line-E,Sewing Mc.Operator
4642,1006625,Production,Production (Worker),Line-E,Asst.Sw.Mc.Operator
4643,1006626,Production,Production (Worker),Quality,Gr.Quality Inspector
4644,1006627,Production,Production (Worker),Finishing,Gr.Finishing Quality Ins.
4645,1006628,Production,Production (Worker),Finishing,Gr.Finishing Quality Ins.
4646,1006629,Production,Production (Worker),Finishing,Gr.Finishing Quality Ins.
4647,1006630,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
4648,1006632,Production,Production (Worker),Line-A,Sewing Mc.Operator
4649,1006633,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
4650,1006634,Production,Production (Worker),Line-E,Sewing Mc.Operator
4651,1006636,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
4652,1006637,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
4653,1006638,Production,Production (Worker),Quality,Jr.Quality Inspector
4654,1006640,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
4655,1006644,Production,Production (Worker),Line-C,Operator
4656,1006645,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
4657,1006646,Production,Production (Worker),Line-D,Sewing Mc.Operator
4658,1006647,Production,Production (Worker),Line-E,Sewing Mc.Operator
4659,1006648,Production,Production (Worker),Line-C,Sewing Mc.Operator
4660,1006649,Production,Production (Worker),Line-E,Jr.Operator
4661,1006650,Production,Production (Worker),Cutting,Asst.Lay Man
4662,1006651,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
4663,1006653,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
4664,1006654,Production,Production (Worker),Line-B,Jr.Operator
4665,1006655,Production,Production (Staff),Quality  Staff,Quality Assurance Manager
4666,1006656,Production,Production (Worker),Line-E,Sewing Mc.Operator
4667,1006657,Production,Production (Worker),Line-E,Sewing Mc.Operator
4668,1006658,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
4669,1006659,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
4670,1006660,Production,Production (Worker),Line-D,Sewing Mc.Operator
4671,1006662,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
4672,1006663,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
4673,1006664,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
4674,1006667,Production,Production (Worker),Line-B,Sewing Mc.Operator
4675,1006670,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
4676,1006673,Production,Production (Worker),Line-F,Sewing Mc.Operator
4677,1006674,Production,Production (Worker),Line-C,Operator
4678,1006676,Production,Production (Worker),Line-A,Sewing Mc.Operator
4679,1006678,Production,Production (Worker),Line-A,Asst.Sw.Mc.Operator
4680,1006679,Production,Production (Staff),Sewing Staff,Supervisor-A
4681,1006680,Production,Production (Worker),Line-E,Sewing Mc.Operator
4682,1006681,Production,Production (Worker),Line-E,Sewing Mc.Operator
4683,1006682,Production,Production (Worker),Line-C,Asst.Inputman.
4684,1006685,Production,Production (Worker),Finishing,Jr.Finishing Operator
4685,1006688,Production,Production (Worker),Line-D,Sewing Mc.Operator
4686,1006689,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
4687,1006690,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
4688,1006691,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
4689,1006692,Production,Production (Worker),Line-A,Asst.Sw.Mc.Operator
4690,1006693,Production,Production (Worker),Finishing,Jr.Operator
4691,1006694,Production,Production (Worker),Line-D,Sewing Mc.Operator
4692,1006695,Production,Production (Worker),Line-E,Operator
4693,1006697,Production,Production (Worker),Line-E,Sewing Mc.Operator
4694,1006700,Production,Production (Worker),Finishing,Jr.Quality Inspector
4695,1006702,Production,Production (Worker),Finishing,Jr.Quality Inspector
4696,1006703,Production,Production (Staff),Sewing Staff,"Supervisor, Line-D"
4697,1006710,Production,Production (Worker),Line-B,Sewing Mc.Operator
4698,1006711,Production,Production (Worker),Line-C,Sewing Mc.Operator
4699,1006712,Production,Production (Staff),Sewing Staff,Line Chief - C
4700,1006713,Production,Production (Staff),Sewing Staff,Line Chief - B
4701,1006714,Production,Production (Staff),Quality  Staff,Quality Auditor
4702,1006716,Production,Production (Worker),Line-F,Sewing Mc.Operator
4703,1006717,Production,Production (Worker),Line-D,Operator
4704,1006718,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
4705,1006719,Production,Production (Worker),Line-C,Asst.Sw.Mc.Operator
4706,1006722,Production,Production (Staff),Sewing Staff,A P M
4707,1006723,Production,Production (Staff),Quality  Staff,Quality In-Charge
4708,1006725,Production,Production (Staff),Quality  Staff,Quality Auditor
4709,1006726,Production,Production (Staff),Quality  Staff,A.Q.C
4710,1006727,Production,Production (Worker),Line-C,Line Iron Man
4711,1006728,Production,Production (Worker),Line-C,Asst.Sw.Mc.Operator
4712,1006729,Production,Production (Staff),Sewing Staff,Supervisor - C
4713,1006730,Production,Production (Worker),Line-A,Asst.Sw.Mc.Operator
4714,1006732,Production,Production (Worker),Finishing,Finishing Assistant
4715,1006733,Production,Production (Worker),Finishing,Gr.Finishing Quality Ins.
4716,1006734,Production,Production (Worker),Finishing,Gr.Finishing Quality Ins.
4717,1006736,Production,Production (Worker),Finishing,Gr.Finishing Quality Ins.
4718,1006737,Production,Production (Worker),Finishing,Gr.Finishing Quality Ins.
4719,1006738,Production,Production (Worker),Finishing,Gr.Finishing Quality Ins.
4720,1006739,Production,Production (Worker),Finishing,Finishing Assistant
4721,1006740,Production,Production (Staff),Quality  Staff,Quality In-Charge
4722,1006741,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
4723,1006742,Production,Production (Worker),Line-E,Sewing Mc.Operator
4724,1006743,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
4725,1006745,Production,Production (Worker),Finishing,Jr.Finishing Quality Ins.
4726,1006746,Production,Production (Worker),Finishing,Jr.Fini. Iron Man
4727,1006747,Production,Production (Worker),Quality,Gr.Quality Inspector
4728,1006749,Production,Production (Worker),Line-D,Sewing Mc.Operator
4729,1006750,Production,Production (Worker),Finishing,Gr.Finishing Quality Ins.
4730,1006752,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
4731,1006753,Production,Production (Staff),Quality  Staff,A.Q.C
4732,1006754,Production,Production (Staff),Quality  Staff,A.Q.C
4733,1006755,Production,Production (Worker),Cutting,Asst.Numbering Man
4734,1006756,Production,Production (Worker),Cutting,Asst.Bundling Man
4735,1006757,Production,Production (Worker),Quality,Gr.Quality Inspector
4736,1006758,Production,Production (Worker),Line-D,Sr.Sw.Mc.Operator
4737,1006759,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
4738,1006760,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
4739,1006762,Production,Production (Worker),Line-F,Sewing Mc.Operator
4740,1006763,Production,Production (Staff),Sewing Staff,Asst.Supervisor Line-A
4741,1006766,Production,Production (Worker),Line-A,Jr.Sw.Mc.Operator
4742,1006767,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
4743,1006769,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
4744,1006770,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
4745,1006773,Production,Production (Worker),Quality,Gr.Quality Inspector
4746,1006774,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
4747,1006776,Production,Production (Worker),Line-D,Asst.Line Iron Man
4748,1006777,Production,Production (Worker),Quality,Jr.Quality Inspector
4749,1006778,Production,Production (Staff),Finishing  Staff,Finishing In-charge
4750,1006780,Production,Production (Worker),Quality,Jr.Quality Inspector
4751,1006781,Production,Production (Worker),Line-B,Asst.Line Iron Man
4752,1006782,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
4753,1006783,Production,Production (Worker),Line-F,Sewing Mc.Operator
4754,1006784,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
4755,1006785,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
4756,1006786,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
4757,1006788,Production,Production (Worker),Finishing,Finishing Assistant
4758,1006789,Production,Production (Worker),Finishing,Finishing Assistant
4759,1006790,Production,Production (Worker),Finishing,Finishing Assistant
4760,1006795,Production,Production (Staff),Sewing Staff,Technician
4761,1006796,Production,Production (Staff),Sewing Staff,Technician
4762,1006797,Production,Production (Staff),Quality  Staff,In-Charge(Quality Assurance)
4763,1006798,Production,Production (Worker),Finishing,Finishing Assistant
4764,1006799,Production,Production (Worker),Finishing,Finishing Assistant
4765,1006800,Production,Production (Worker),Finishing,Finishing Assistant
4766,1006802,Production,Production (Worker),Line-A,G.Sw.Mc.Operator
4767,1006803,Production,Production (Worker),Finishing,Jr.Packer
4768,1006804,Production,Production (Worker),Finishing,Finishing Assistant
4769,1006805,Production,Production (Staff),Sewing Staff,Line Chief - C
4770,1006809,Production,Production (Worker),Line-D,Sewing Mc.Operator
4771,1006810,Production,Production (Worker),Finishing,Finishing Assistant
4772,1006812,Production,Production (Staff),Sewing Staff,Asst.Supervisor- C
4773,1006814,Production,Production (Worker),Finishing,Jr.Metal Detector Operator
4774,1006815,Production,Production (Worker),Finishing,Jr. Folding Man
4775,1006817,Production,Production (Worker),Quality,Gr.Quality Inspector
4776,1006818,Production,Production (Worker),Line-D,Asst.Sw.Mc.Operator
4777,1006819,Production,Production (Worker),Quality,Gr.Quality Inspector
4778,1006820,Production,Production (Worker),Finishing,Jr.Folder
4779,1006821,Production,Production (Worker),Quality,Quality Inspector
4780,1006822,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
4781,1006823,Production,Production (Staff),Finishing  Staff,Fin. Supervisor
4782,1006824,Production,Production (Worker),Finishing,Jr.Finishing Operator
4783,1006825,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
4784,1006827,Human Resource,Human Resource,General,Loader
4785,1006828,Production,Production (Staff),Sewing Staff,Line Chief - B
4786,1006829,Production,Production (Staff),Quality  Staff,A.Q.C
4787,1006830,Production,Production (Worker),Finishing,Quality Inspector
4788,1006831,Production,Production (Staff),Sewing Staff,Supervisor(Wash)
4789,1006832,Production,Production (Staff),Sewing Staff,GM(Project Head)
4790,1006833,Production,Production (Staff),Finishing  Staff,Finishing Manager
4791,1006834,Production,Production (Worker),Finishing,Gr.Finishing Quality Ins.
4792,1006835,Production,Production (Worker),Quality,Jr.Quality Inspector
4793,1006836,Production,Production (Worker),Line-D,Sewing Mc.Operator
4794,1006837,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
4795,1006838,Production,Production (Worker),Line-D,Sewing Mc.Operator
4796,1006839,Production,Production (Worker),Line-D,Operator
4797,1006842,Production,Production (Worker),Line-A,Sewing Mc.Operator
4798,1006843,Production,Production (Worker),Finishing,Jr.Packer
4799,1006844,Production,Production (Worker),Finishing,Jr.Packer
4800,1006845,Production,Production (Worker),Finishing,Packer Man
4801,1006846,Production,Production (Worker),Line-B,Asst.Operator
4802,1006847,Production,Production (Worker),Line-B,Asst.Operator
4803,1006848,Production,Production (Worker),Finishing,Finishing Assistant
4804,1006849,Production,Production (Worker),Quality,Gr.Quality Inspector
4805,1006850,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
4806,1006851,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
4807,1006852,Production,Production (Worker),Line-C,Line Iron Man
4808,1006853,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
4809,1006855,Production,Production (Worker),Line-B,Sewing Mc.Operator
4810,1006856,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
4811,1006858,Human Resource,Human Resource,Admin,Medical Officer
4812,1006859,Production,Production (Staff),Finishing  Staff,Finishing Manager
4813,1006860,Production,Production (Worker),Line-F,Jr.Sw.Mc.Operator
4814,1006861,Production,Production (Staff),Quality  Staff,A.Q.C
4815,1006862,Production,Production (Worker),Cutting,Asst.Numbering Man
4816,1006863,Production,Production (Worker),Line-B,Asst.Inputman
4817,1006864,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
4818,1006865,Production,Production (Worker),Line-D,Jr.Sw.Mc.Operator
4819,1006866,Production,Production (Staff),Sewing Staff,Supervisor - C
4820,1006867,Production,Production (Worker),Quality,Jr.Quality Inspector
4821,1006870,Production,Production (Worker),Line-B,Sewing Mc.Operator
4822,1006871,Production,Production (Worker),Finishing,Jr. Folding Man
4823,1006873,Production,Production (Staff),Sewing Staff,Line Chief - C
4824,1006874,Industrial Engineer,Industrial Engineer,Industrial Engineer,Trainee I.E. Executive
4825,1006875,Production,Production (Worker),Line-D,Sewing Mc.Operator
4826,1006876,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
4827,1006877,Production,Production (Worker),Line-B,Asst.Sw.Mc.Operator
4828,1006879,Production,Production (Staff),Sewing Staff,Supervisor - B
4829,1006880,Production,Production (Worker),Finishing,Jr.Finishing Operator
4830,1006882,Production,Production (Worker),Finishing,Finishing Assistant
4831,1006883,Production,Production (Worker),Finishing,Finishing Assistant
4832,1006884,Production,Production (Worker),Finishing,Finishing Assistant
4833,1006885,Production,Production (Worker),Finishing,Finishing Assistant
